영상 이름,선수명,키,몸무게,샅바 시간,경기시간 ,휴식 시간,승리여부,기술 횟수,이동거리,누적 판수
한라_8_1_1_0,이국희,183,106,51,6,0,0,1,4798.979413,1
한라_8_1_1_0,김무호,183,107,51,6,0,1,1,4798.979413,1
한라_8_1_2_0,이국희,183,106,99,12,60,0,2,11549.26283,2
한라_8_1_2_0,김무호,183,107,99,12,60,0,2,11549.26283,2
한라_8_2_1_0,유정훈,190,105,62,3,0,0,1,3691.158295,1
한라_8_2_1_0,최성환,183,107,62,3,0,1,1,3691.158295,1
한라_8_2_2_0,유정훈,190,105,112,9,60,0,4,8455.673135,2
한라_8_2_2_0,최성환,183,107,112,9,60,0,4,8455.673135,2
한라_8_3_1_0,박동환,193,105,50,9,0,0,3,5164.752321,1
한라_8_3_1_0,박민교,182,105,50,9,0,1,3,5164.752321,1
한라_8_3_2_0,박동환,193,105,107,16,60,0,6,10857.82681,2
한라_8_3_2_0,박민교,182,105,107,16,60,0,6,10857.82681,2
한라_8_4_1_0,남원택,183,108,49,2,0,0,2,3386.124295,1
한라_8_4_1_0,차민수,183,106,49,2,0,1,2,3386.124295,1
한라_8_4_2_0,남원택,183,108,85,6,60,0,5,6516.374497,2
한라_8_4_2_0,차민수,183,106,85,6,60,0,5,6516.374497,2
한라_4_1_1_0,김무호,183,107,186,21,1564,0,5,15869.63986,3
한라_4_1_1_0,최성환,183,107,199,18,1229,1,7,12776.05016,3
한라_4_1_2_0,김무호,183,107,248,31,1624,1,9,20286.77144,4
한라_4_1_2_0,최성환,183,107,261,28,1289,0,11,17193.18174,4
한라_4_1_3_0,김무호,183,107,296,36,1684,1,10,24044.58857,5
한라_4_1_3_0,최성환,183,107,309,33,1349,0,12,20950.99888,5
한라_4_2_1_0,박민교,182,105,159,17,1573,0,7,15724.15265,3
한라_4_2_1_0,차민수,183,106,137,7,1229,1,6,11382.70034,3
한라_4_2_2_0,박민교,182,105,207,24,1633,1,9,22210.67238,4
한라_4_2_2_0,차민수,183,106,185,14,1289,0,8,17869.22006,4
한라_4_2_3_0,박민교,182,105,260,28,1693,1,11,27090.56759,5
한라_4_2_3_0,차민수,183,106,238,18,1349,0,10,22749.11528,5
한라_2_1_1_0,김무호,183,107,338,38,2713,0,11,27628.58718,6
한라_2_1_1_0,차민수,183,106,280,20,1830,1,11,26333.11388,6
한라_2_1_2_0,김무호,183,107,376,48,2773,0,15,33352.84975,7
한라_2_1_2_0,차민수,183,106,318,30,1890,1,15,32057.37645,7
한라_2_2_1_0,최성환,183,107,363,35,3000,0,14,25394.73297,6
한라_2_2_1_0,박민교,182,105,314,30,2786,1,13,31534.30168,5
한라_2_2_2_0,최성환,183,107,411,95,3060,0,22,31585.89616,7
한라_2_2_2_0,박민교,182,105,362,90,2846,0,21,37725.46488,6
한라_2_2_2_1,최성환,183,107,453,100,3060,1,25,35705.74076,8
한라_2_2_2_1,박민교,182,105,404,95,2846,0,24,41845.30947,7
한라_2_2_3_0,최성환,183,107,497,103,3180,1,27,40796.62354,9
한라_2_2_3_0,박민교,182,105,448,98,2966,0,26,46936.19226,8
한라_2_2_4_0,최성환,183,107,548,112,3240,0,30,44853.8462,10
한라_2_2_4_0,박민교,182,105,499,107,3026,1,29,50993.41491,9
한라_2_2_5_0,최성환,183,107,591,119,3360,0,32,48026.34604,11
한라_2_2_5_0,박민교,182,105,542,114,3146,1,31,54165.91475,10
