영상 이름,선수명,키,몸무게,샅바 시간,경기시간 ,휴식 시간,승리여부,기술 횟수,이동거리,누적 판수
백두_8_1_1_0,김진,190,142,60,3,0,0,2,10129.68,1
백두_8_1_1_0,서남근,183,140,60,3,0,1,2,10129.68,1
백두_8_1_2_0,김진,190,142,135,4,60,0,4,15523.079,2
백두_8_1_2_0,서남근,183,140,135,4,60,1,4,15523.079,2
백두_8_2_1_0,손명호,194,140,96,5,0,0,3,8534.571,1
백두_8_2_1_0,윤성민,190,135,96,5,0,1,3,8534.571,1
백두_8_2_2_0,손명호,194,140,190,10,60,0,5,13033.505,2
백두_8_2_2_0,윤성민,190,135,190,10,60,1,5,13033.505,2
백두_8_3_1_0,박성용,187,135,55,60,0,0,5,10431.28,1
백두_8_3_1_0,최성민,196,138,55,60,0,0,5,10431.28,1
백두_8_3_1_1,박성용,187,135,110,61,0,0,6,15043.708,2
백두_8_3_1_1,최성민,196,138,110,61,0,1,6,15043.708,2
백두_8_3_2_0,박성용,187,135,167,117,60,0,11,21824.613,3
백두_8_3_2_0,최성민,196,138,167,117,60,1,11,21824.613,3
백두_8_4_1_0,김민재,190,140,95,1,0,0,1,9237.783,1
백두_8_4_1_0,장성우,193,140,95,1,0,1,1,9237.783,1
백두_8_4_2_0,김민재,190,140,154,6,60,1,4,10373.372,2
백두_8_4_2_0,장성우,193,140,154,6,60,0,4,10373.372,2
백두_8_4_3_0,김민재,190,140,225,7,120,1,5,16320.485,3
백두_8_4_3_0,장성우,193,140,225,7,120,0,5,16320.485,3
백두_4_1_1_0,서남근,183,140,217,6,1870,1,6,22560.387,3
백두_4_1_1_0,윤성민,190,135,272,12,1468,0,7,20070.813,3
백두_4_1_2_0,서남근,183,140,335,10,1930,1,9,27934.203,4
백두_4_1_2_0,윤성민,190,135,390,16,1528,0,10,25444.629,4
백두_4_2_1_0,최성민,196,138,214,130,1366,0,13,27457.52,4
백두_4_2_1_0,김민재,190,140,272,20,864,1,7,21953.392,4
백두_4_2_2_0,최성민,196,138,257,134,1426,1,15,32813.522,5
백두_4_2_2_0,김민재,190,140,315,24,924,0,9,27309.394,5
백두_4_2_3_0,최성민,196,138,312,138,1486,0,18,37816.698,6
백두_4_2_3_0,김민재,190,140,370,28,984,1,12,32312.57,6
백두_2_1_1_0,윤성민,190,135,461,31,2397,0,15,30622.549,5
백두_2_1_1_0,최성민,196,138,383,153,1886,1,23,42994.618,7
백두_2_1_2_0,윤성민,190,135,521,41,2457,0,18,34013.844,6
백두_2_1_2_0,최성민,196,138,443,163,1946,1,26,46385.913,8
백두_2_2_1_0,서남근,183,140,425,14,3343,0,10,35182.257,5
백두_2_2_1_0,김민재,190,140,460,32,1928,1,13,39560.624,7
백두_2_2_2_0,서남근,183,140,495,74,3403,0,14,42290.885,6
백두_2_2_2_0,김민재,190,140,530,92,1988,0,17,46669.252,8
백두_2_2_2_1,서남근,183,140,538,77,3403,0,15,45192.864,7
백두_2_2_2_1,김민재,190,140,573,95,1988,1,18,49571.231,9
백두_2_2_3_0,서남근,183,140,606,81,3463,0,18,49226.149,8
백두_2_2_3_0,김민재,190,140,641,99,2048,1,21,53604.516,10
